,SAC 0,Exports,SJR,DICU,Vern EC,SF_Tide,DXC
1940-01-01,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,4.964600086212158,0.0
1940-01-02,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,4.841500282287598,0.0
1940-01-03,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,5.566999912261963,0.0
1940-01-04,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,6.2241997718811035,0.0
1940-01-05,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,6.730299949645996,0.0
1940-01-06,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.00100040435791,0.0
1940-01-07,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.230199813842773,0.0
1940-01-08,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.258399963378906,0.0
1940-01-09,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,6.961700439453125,0.0
1940-01-10,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,6.654900074005127,0.0
1940-01-11,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,6.107900142669678,0.0
1940-01-12,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,5.430400371551514,0.0
1940-01-13,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,4.636899948120117,0.0
1940-01-14,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,4.238199710845947,0.0
1940-01-15,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,3.7930002212524414,0.0
1940-01-16,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,3.396399974822998,0.0
1940-01-17,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,3.4737000465393066,0.0
1940-01-18,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,4.015600204467773,0.0
1940-01-19,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,4.732600212097168,0.0
1940-01-20,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,5.577900409698486,0.0
1940-01-21,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,6.415299892425537,0.0
1940-01-22,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.10290002822876,0.0
1940-01-23,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.598999977111816,0.0
1940-01-24,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.9116997718811035,0.0
1940-01-25,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.806300163269043,0.0
1940-01-26,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,7.277400016784668,0.0
1940-01-27,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,6.470699787139893,0.0
1940-01-28,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,5.770999908447266,0.0
1940-01-29,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,5.220399856567383,0.0
1940-01-30,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,5.040499687194824,0.0
1940-01-31,36778.58689880371,5523.931453704834,3369.510986328125,-3007.61767578125,680.7445678710938,5.251699924468994,0.0
1940-02-01,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.487499713897705,0.0
1940-02-02,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.812000274658203,0.0
1940-02-03,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,6.083200454711914,0.0
1940-02-04,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,6.359699726104736,0.0
1940-02-05,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,6.508699893951416,0.0
