,Emmaton,Jersey Point,Collinsville,Rock Slough
1940-01-01,1490.9608154296875,2636.42919921875,6855.8876953125,1348.7254638671875
1940-01-02,881.3255004882812,2323.91748046875,5164.896484375,1348.4254150390625
1940-01-03,532.806884765625,1892.5731201171875,3233.66162109375,1330.987548828125
1940-01-04,443.08038330078125,1769.03564453125,2453.143798828125,1300.0811767578125
1940-01-05,390.4444885253906,1428.851806640625,1644.7818603515625,1255.95361328125
1940-01-06,372.1026916503906,1270.867431640625,1342.3243408203125,1202.6602783203125
1940-01-07,378.2039489746094,1204.1910400390625,1228.58642578125,1138.203369140625
1940-01-08,346.7518310546875,1098.315185546875,987.2881469726562,1074.115966796875
1940-01-09,317.0320739746094,928.6829223632812,756.673583984375,1026.995361328125
1940-01-10,305.8114318847656,835.1732788085938,679.3977661132812,989.1458129882812
1940-01-11,287.6316833496094,751.6339721679688,569.26513671875,948.5556640625
1940-01-12,273.9814453125,682.0127563476562,501.3603820800781,917.9666748046875
1940-01-13,263.5316467285156,636.3442993164062,464.2362976074219,890.3407592773438
1940-01-14,247.37387084960938,601.2796630859375,410.0355529785156,851.80419921875
1940-01-15,230.00389099121094,570.8668823242188,364.0030822753906,806.9144287109375
1940-01-16,216.30003356933594,545.1725463867188,326.3873596191406,757.6580200195312
1940-01-17,209.785888671875,522.948486328125,294.9209289550781,707.416015625
1940-01-18,209.479614257812,506.00665283203125,277.98004150390625,661.3152465820312
1940-01-19,210.44224548339844,483.78973388671875,273.76611328125,621.8817749023438
1940-01-20,211.13841247558594,463.87127685546875,278.4787292480469,588.1657104492188
1940-01-21,211.35235595703125,446.7168273925781,277.7066345214844,557.7473754882812
1940-01-22,211.88479614257812,430.67156982421875,275.7961120605469,530.2027587890625
1940-01-23,212.32455444335938,415.8297119140625,276.27008056640625,502.167724609375
1940-01-24,209.13478088378906,392.7413635253906,266.4998474121094,481.7303466796875
1940-01-25,208.7944793701172,378.63916015625,269.8750305175781,462.7973937988281
1940-01-26,205.6893768310547,359.8660888671875,252.4927978515625,449.9529724121094
1940-01-27,207.43826293945312,342.5475769042969,250.7225341796875,448.8469543457031
1940-01-28,207.93893432617188,333.68243408203125,248.85598754882812,444.6377258300781
1940-01-29,207.39952087402344,326.66534423828125,244.8449249267578,436.5391540527344
1940-01-30,205.3153533935547,320.30621337890625,240.66781616210938,423.2839050292969
